x,y,z,step,action
-24.3471978352525,-17.5356971251823,287.47242897119,0.0129179021500235,no_hit
-24.145642775012,-17.6177185022878,287.544730945829,0.236521850720616,proposed
-24.3388707329364,-17.5390812600151,287.475415272573,0.00948058127695717,too_far
-24.3408498658472,-17.5424940707081,287.475415993443,0.00977869444415505,proposed
-24.340843367541,-17.542501029242,287.475419051354,0.009788178925877,no_hit
-24.1363653871515,-17.6169368572971,287.547721025839,0.236521849821178,proposed
-24.3348315530828,-17.544685043713,287.477544048845,0.00674900518813715,too_far
-24.3361737995058,-17.5471908423486,287.477544562015,0.0069612250128225,proposed
-24.3361670820225,-17.5471975895764,287.477547619847,0.00697103903432123,no_hit
-24.1297820088347,-17.6161695275157,287.549849594216,0.236521849180881,proposed
-24.3320247251926,-17.5485775142208,287.478998103122,0.00460982193654047,too_far
-24.3329088273559,-17.5503266814808,287.478998453636,0.00475477598095832,proposed
